"Identifier","HCBusinessReferenceModelCode","Activity","Description"
"ACQ.020.040 ",,"Technical Evaluation Criteria and Instructions to Offerors (Sections L&M) Development ","Identify and document price and non-price factors that will be used to evaluate the submissions received "
"ACQ.020.050 ",,"Source Selection/Technical Evaluation Plan Development ","Determine and document how the source selection will be organized, how proposals will be evaluated and analyzed, and how source(s) will be selected. "
"ACQ.020.060 ",,"Performance Based Services Acquisition (PBSA) Documentation Development ","Develop and document how acquired performance based services will be monitored, measured, evaluated, and managed; Includes development of Quality Assurance Surveillance Plans and Incentive Plans "
"ACQ.020.070 ",,"Independent Government Cost Estimate (IGCE) Development ","Develop and document unbiased estimate of the resources and projected cost of the resources that a contractor will incur in the performance of a contract "
"ACQ.020.080 ",,"Solicitation Documentation Development ","Develop standard solicitation documents, including Terms and Conditions and Reps and Certs; Develop solicitation documents for simplified acquisitions; Includes developing Request for Proposal (RFP) and Request for Quote (RFQ) documentation "
"ACQ.020.090 ",,"Pre-Solicitation Communications ","Conduct events with and/or issue communications to industry to provide information regarding the upcoming acquisition; Includes issuing pre-solicitation notice "
"ACQ.020.100 ",,"Solicitation Issuance ","Provide solicitation to the identified pool of vendors; Publish solicitation in Fed BizOpps "
"ACQ.020.110 ",,"Pre-Proposal Conferences ","Conduct events with industry to present solicitation information and respond to questions; Includes conducting bidders conferences "
"ACQ.020.120 ",,"Disposition of Solicitation Questions ","Develop and document responses to questions submitted by offerors "
"ACQ.020.130 ",,"Solicitation Amendment ","Develop and issue amendments to the solicitation (e.g., changes to the specifications, terms or conditions, or quantities required); Includes amending solicitation based on pre-proposal conference feedback and solicitation questions "
"ACQ.030.010 ",,"Proposal Evaluation ","Receive offeror proposals/quotes; Identify and document deficiencies, weaknesses, strengths, and risks; Evaluate rates; Includes conducting technical, cost, and past performance evaluations "
"ACQ.030.020 ",,"Competitive Range Determination ","Identify and document comparative analysis of proposals that have a reasonable chance of being selected for award of a contract "
"ACQ.030.030 ",,"Proposal Discussions/Clarifications ","Conduct discussions to obtain additional information or clarifications on information submitted by offeror(s) "
"ACQ.030.040 ",,"Negotiations/Proposal Revisions ","Conduct negotiations with offeror(s) and accept proposal revisions, as necessary "
"ACQ.030.050 ",,"Best Value Determination and Source Selection Authority Briefing ","Determine and document for the source selection authority's consideration the recommended outcome that, in the Government’s estimation, provides the greatest overall benefit in response to the government's requirements "
"ACQ.030.060 ",,"Award Decision ","Determine and document the winning offeror(s) based on information provided and award criteria "
"ACQ.030.070 ",,"Contract Award Issuance ","Develop and issue to successful offeror(s) contract award and associated documents; Verify availability of and obligate funds; Request/confirm set-up of payee record; Includes developing/issuing contracts, task orders, and purchase orders "
"ACQ.030.080 ",,"Notification/Debriefing of Unsuccessful Offerors ","Prepare and deliver unsuccessful offeror letters; Conduct sessions with unsuccessful offerors identifying deficiencies in their proposals "
"ACQ.040.010 ",,"Kickoff Meeting\Documentation of Contract Transition ","Conduct and document initial meeting with successful offeror, program manager, contracting officer's technical representative, etc. and provide any information from a previous contract that may be needed by the offeror "
"ACQ.040.020 ",,"Documentation of Delivery/Acceptance ","Document the government's receipt and acceptance of goods or services; Receive and review vendor progress reports, invoices, and claims; Determine financial accrual of liability; Determine adjustments to invoiced amounts and interest due, if any; Verify availability and request disbursement of funds; Document approval of vendor invoices and claims "
"ACQ.040.030 ",,"Contract Modification ","Issue a written change in the terms of a contract after agreement is obtained for bilateral modifications; Includes novation agreements, change-of-name agreements, and change in period of performance; Verify availability of and obligate or de-obligate funds "
"ACQ.040.040 ",,"Contract Closeout ","Document evidence of physical completion; Verify contractor’s final invoice has been submitted; Prepare contract completion statement; De-obligate any remaining funds "
"ACQ.040.050 ",,"Earned Value Management ","Perform earned value management to track program execution and risk "
"ACQ.040.060 ",,"Incentive\Award Fee Management ","Determine and document whether the requirements for a fee payment have been met; Provide information to enable payment of fees; Includes fee determination for Cost Plus Fixed Fee (CPFF) and Cost Plus Award Fee (CPAF) contracts "
"ACQ.040.070 ",,"Contractor Clearance Tracking ","Track/document the status of contractors' clearances "
"ACQ.040.080 ",,"Vendor Performance Monitoring and Dispute Resolution ","Document ongoing review of vendor performance; Document and address issues and/or disputes with the vendor; Document and provide information to support suspension and/or debarment of vendor "
"ACQ.040.090 ",,"Acquisition Reporting ","Provide reports on acquisition status and outcomes (e.g., contracts awarded, dollar value, type of contract, vendor information, time to award); Includes acquisition milestone reporting and providing award information to Federal Procurement Data System (FPDS) "
"ACQ.040.100 ",,"Acquisition Analysis and Forecasting ","Conduct analyses of agency's historical acquisition needs, patterns, and processes; Forecast agency's acquisition demand "
"ACQ.050.010 ",,"Purchase Card Account Set-Up and Maintenance ","Prepare and submit applications for new accounts and requests for changes to existing accounts; Process applications for and requests for changes to accounts; Set up new accounts and approving officials; Update existing accounts; Includes establishing and maintaining Government employee and Government central billed account information "
"ACQ.050.020 ",,"Purchase Card Issuance and Support ","Issue and cancel purchase cards of Government employees; Provide support and guidance; Maintain and provide card use procedures and training "
"ACQ.050.030 ",,"Purchase Card Reconciliation ","Receive purchase card account statements; Match purchase card receipts to account statements; Identify and resolve purchase card account statement discrepancies; Verify availability and request disbursement of funds; Approve purchase card account statements for payment "
"ACQ.050.040 ",,"Purchase Card Audit ","Conduct random sampling of card use; Advise of instances of potential abuse; Revoke cards based on identified abuse "
"ACQ.050.050 ",,"Purchase Card Reporting ","Provide information on purchase card usage, trends, and patterns "
"GRM.010.010 ",,"Grant Program Set-up and Maintenance ","Document grant program authorizing legislation; Develop or document grant program scope, objectives, description and eligibility; Determine and document appropriate award instrument; Obtain or confirm Catalog of Federal Domestic Assistance (CFDA) number; Develop or document grant program performance goals, indicators, milestones, and regulations and policies; Determine and document level of federal agency involvement in cooperative agreement; Determine cost share or match contribution; Develop and document grant program funding formula calculation; Develop and document grant program package; Determine and document grant program funding and spend plan; Develop and document inter-agency services/funding agreement and modifications; Develop request to transfer funds between Federal agencies and their existing programs "
"GRM.010.020 ",,"Grant Program Funding Opportunity ","Determine and document eligibility criteria; Develop or document application merit review criteria and process; Develop or document applicant risk evaluation criteria; Determine and document award recipient reporting responsibilities; Determine and document application period; Develop and provide application instructions and submission process; Develop funding opportunity and provide to OMB designated source(s); Determine funds availability and provide funds commitment information for funding opportunity; Request updated project plan "
"GRM.020.010 ",,"Grant Application Support and Receipt ","Receive and respond to request for additional information or guidance pertaining to the funding opportunity; Receive and respond to request for additional support to submit an application via postal mail, electronic means, or hand-delivery; Receive and document application package; Evaluate application package for consistency with application submission instructions; Receive and document award continuation/renewal applications; Receive and document updated project plan "
"GRM.020.020 ",,"Grant Application Review and Selection ","Determine and document candidate/selected reviewers; Evaluate and document application eligibility; Evaluate and document application merit; Assess and document application project budget; Evaluate and document applicant risk and develop risk reduction strategy for applicants, if needed; Develop, document and obtain approval for applicant award recommendations, including funding; Determine funds availability and provide funds commitment information for approved applicants; Notify approved applicants of award selection; Review, document and approve updated project plans, including additional funding; Evaluate and approve award continuation/renewal applications; Review and approve updated project plans "
"GRM.030.010 ",,"Grant Award Issuance ","Develop and document award advance payment schedule; Develop and document award special conditions to address award recipient risks; Develop or document Federal awarding agency and award specific terms and conditions; Receive and verify award recipient provisional or final indirect cost rate information; Develop and issue award agreement to award recipient; Determine funds availability and provide funds obligation information for award; Receive and verify award recipient bank account information; Execute award agreement; Provide award and unsuccessful applicant information to OMB designated sources; Notify unsuccessful applicants "
"GRM.030.020 ",,"Grant Award Payment Processing ","Receive, evaluate and approve award recipient request for payment (advance payment or reimbursement) and supporting documentation; Determine and document need for suspension of award recipient advance payments; Verify funds availability and submit disbursement request; Verify and document award recipient payment acceptance; Determine and document award liability accrual estimate "
"GRM.040.010 ",,"Grant Award Modification ","Receive, evaluate and document award recipient request for award modification; Receive, evaluate and document award recipient request for approval to waive specific award terms and conditions; Receive, evaluate and document request for approval of award recipient special or unusual costs; Receive, evaluate and document award recipient request for termination; Determine funds availability and provide funds obligation information for award modifications; Develop and issue award modifications to award recipients; Execute award modifications; Provide award modification information to OMB designated source(s) "
"GRM.040.020 ",,"Grant Award Performance Review ","Receive, evaluate and document award performance information and results; Determine and document performance issues and concerns, and notify award recipient; Evaluate award recipient response to performance issues and concerns; Request, receive and evaluate award recipient improvement plan addressing performance issues and concerns; Receive and evaluate award recipient improvement plan status information for performance issues and concerns "
"GRM.040.030 ",,"Grant Award Financial Review ","Receive, evaluate and document award recipient financial information; Evaluate cost information against award agreement; Evaluate earned interest, allowable audit costs for services and cost sharing contributions; Receive, evaluate and document request to include unrecovered indirect costs in cost sharing; Determine and document whether allowable costs were incurred by award recipient during a suspension or after termination; Evaluate and document award financial information to award performance accomplishments; Determine and document financial issues and concerns, and notify award recipient; Evaluate award recipient response to financial issues and concerns; Request, receive and evaluate award recipient improvement plan addressing financial issues and concerns; Receive and evaluate award recipient improvement plan status information for financial issues and concerns; Determine and document cost adjustments or refunds; Determine and document award liability accrual estimate for unbilled incurred cost; Receive and evaluate award recipient inventory information for Federally owned property and equipment provided to award recipient or acquired with award funds "
"GRM.040.040 ",,"Grant Award Compliance Review ","Prepare for and notify recipient of site visit; Evaluate and document site visit information and results; Evaluate and document award recipient current and previous audit findings; Evaluate and document award recipient compliance with internal control standards, Federal procurement policies and procedures, Federal statutes and regulations, and award agreement terms and conditions; Determine and document compliance issues and concerns, and notify award recipient; Evaluate award recipient response to compliance issues and concerns; Request, receive and evaluate award recipient improvement plan addressing compliance issues and concerns; Receive and evaluate award recipient improvement plan status information for compliance issues and concerns; Determine and document award recipient non-compliance; Determine remedies for award recipient non-compliance and notify award recipient; Determine and document award full or partial termination, or award recipient suspension or disbarment "
"GRM.040.050 ",,"Grant Award Closeout ","Determine and document awards where the period of performance is ending; Notify award recipients of award closeout; Receive and respond to award recipient request for extension of time period to submit final reports; Receive, evaluate and document final financial, performance and other reports; Notify award recipient of acceptance of final reports; Determine and document ownership and disposition of property assets and equipment; Determine and document ownership and disposition of intangible property resulting from award research, experimentation or development; Verify and document that all award closeout actions are completed; Provide award closeout information to OMB designated source(s) "
"GRM.050.010 ",,"Grant Program Reporting and Review ","Develop and document program-level performance and financial report information; Evaluate and document program performance and financial results; Evaluate and document variance between past program liability estimates and the program's actual operating cost; Determine grant program risk of material financial misstatement and record results; Determine program liability accrual estimate information; Conduct program review of program performance and financial results against objectives and other information and record results; Evaluate and document program compliance with authorizing legislation and program internal controls compliance with program policies and procedures; Document significant findings reported in past grant program audits; Develop program lessons learned and promising practices "
"GRM.050.020 ",,"Grant Program Closeout ","Determine and document if all awards for grant program have been closed out; Evaluate program performance and financial reports to determine the need for grant program funds reprogramming and document results; Verify and document that all grant program closeout actions are completed "
"GRM.060.010 ",,"Grant Recipient Indirect Cost Rate Negotiation ","Determine and document cognizant agency for indirect (F&A) cost rate; Receive, evaluate and document grant recipient submission of indirect (F&A) cost rate proposal and cost allocation plan; Determine and document grant recipient provisional or final indirect (F&A) cost rate; Develop and document cost allocation plan or indirect (F&A) cost rate for grant recipient for failure to submit plan or rate proposal; Receive and evaluate request for adjustment or deviation to negotiated indirect cost rates and document results; Receive, evaluate and document requests for one-time extension for negotiated indirect cost rates "
"GRM.060.020 ",,"Grant Recipient Audit ","Determine or reassign grant recipient's cognizant or oversight agency for audit; Determine and document key management single audit liaison(s); Develop and document response to grant recipient or auditor request for technical audit advice and liaison assistance; Evaluate grant recipient audit findings and corrective action plan; Receive, evaluate and document status of corrective actions; Receive and notify other affected Federal agencies and appropriate Federal law enforcement officials of grant recipient fraud, waste, or abuse; Determine Federal awarding agencies for coordination of management decision on audit findings; Request and evaluate Federal awarding agency management decision input for cross-cutting audit findings; Develop and provide grant recipient management decision documentation; Conduct quality control reviews of grant recipients' audit information; Provide audit deficiencies requiring corrective actions by auditor; Receive, evaluate and document status of auditor corrective actions; Notify appropriate entities of auditor failure to take corrective actions to address deficiencies; Provide notification of major inadequacies or repetitive substandard performance by auditors to state licensing agencies and professional bodies; Evaluate audit execution to identify cost-effective audit processes, and determine and document audit trends, significant problems, or quality issues "
"TRT.010.010 ",,"Travel Personnel Profile Set-up and Maintenance ","Determine and document approver(s) for travel; Determine and document family member eligibility for travel; Evaluate travel special needs request and document accommodation(s); Document travel personnel information, including name, agency, email address, travel preferences, passport and visa information, billing and payment information; Develop and maintain government/non-government travel personnel profile information "
"TRT.010.020 ",,"Travel Reservation Assistance and Processing ","Document travel location and departure/return dates; Identify and select Government-negotiated and non-Government-negotiated transportation carrier, lodging, and rental car options; Identify and apply unused ticket value; Determine and document carbon footprint information for travel reservation options; Compare cost information for itineraries; Document exception/justification information for non-standard transportation method, fare, lodging, or rental car; Evaluate travel reservation information for completeness, errors, and compliance with documentary guidelines and policies; Revise travel reservations to correct issues; Notify traveler of transportation carrier schedule change(s); Update travel reservation information; Cancel reservation information; Receive and process traveler reservation assistance request. "
"TRT.010.030 ",,"Temporary Duty (TDY) and Local Travel Authorization Processing ","Capture trip purpose and type; Determine and document estimated per diem for Meals and Incidental Expenses (M&IE); Determine and document estimated expenses for use of actuals for M&IE (if not using per diem); Determine and document estimated lodging expenses; Determine and document estimated Privately Owned Vehicle (POV) expense information; Document estimated transportation carrier fare, and miscellaneous and other expenses; Document exception/justification for planned use of non-standard transportation method or other travel policy deviation; Receive, evaluate, and approve payment of expenses and/or payment in kind from non-Federal source(s); Evaluate traveler/family member request information for non-Temporary Duty (TDY) travel and record results; Determine allocation percentage and dollar amounts for planned lines of accounting (LOA) code(s); Evaluate travel authorization/amended travel authorization information for completeness, errors, and compliance with policies; Revise travel authorization/amended travel authorization to correct issues; Submit and document travel authorization/amended travel authorization for approval; Evaluate, route, and review travel authorization/amended travel authorization and record results; Provide unapproved travel authorization/amended travel authorization, update to correct issues, and resubmit for approval; Determine funds availability for travel authorization/amended travel authorization; Approve and sign travel authorization/amended travel authorization; Provide and confirm funds obligation information for travel authorization/amended travel authorization; Determine and document travel authorization/amended travel authorization status information; Request and document approval/disapproval for unexpected trip or trip changes; Cancel travel authorization; Provide and confirm funds deobligation information for canceled travel authorization. "
"TRT.010.040 ",,"Travel Ticketing ","Receive notification to issue ticket and evaluate ticket/updated ticket information for completeness, errors, and compliance with documentary guidelines and policies; Revise ticket/updated ticket information to correct issues; Issue ticket/updated ticket to traveler; Purchase and issue rail carrier ticket; Cancel issued traveler ticket; Request and receive refund from carrier for refundable ticket cancellation "
"TRT.010.050 ",,"Traveler Emergency Assistance Request Processing ","Evaluate traveler emergency notification and provide instructions; Receive and evaluate traveler/family member death notification information; Evaluate and document expansion of family definition for emergency travel purposes "
"TRT.010.060 ",,"Temporary Duty (TDY) and Local Travel Voucher Processing and Audit ","Verify and update official station/residence location, travel location information, and departure/return dates; Determine and document value information for payment in kind from non-Federal source(s); Determine travel authorization/amended travel information associated with trip voucher; Verify and update Meals and Incidental Expenses (M&IE) per diem, transportation carrier fare, lodging, rental car, miscellaneous, special conveyance/transit system, and other expens information; Determine and document Privately Owned Vehicle (POV) expense information; Document M&IE information (if not using per diem); Determine and document additional emergency expense information associated with traveler illness or injury; Document expense receipts; Document updates to exception/justification information for use of non-standard transportation method or other travel policy deviation; Determine and document exchange rate adjustment information for conversion of expenses paid in foreign currency; Verify and update allocation percentage and dollar amounts for lines of accounting (LOA) code(s); Evaluate voucher/amended voucher information for completeness, errors, and compliance with policies; Revise voucher/amended voucher to correct issues; Submit and document voucher/amended voucher information for approval; Evaluate variance between estimated expenses on travel authorization and incurred expenses on voucher; Evaluate incurred costs and constructive costs for transportation and per diem, and determine reimbursable amount; Evaluate, route, and review voucher/amended voucher and record results Provide unapproved voucher/amended voucher, update to correct issues, and resubmit for approval; Determine funds availability for voucher/amended voucher payment; Approve and sign voucher/amended voucher; Request and confirm voucher/amended voucher payment disbursement; Match voucher/amended voucher payment disbursement confirmation to voucher and mark voucher as paid; Determine and document voucher/amended voucher status information; Document voucher/amended voucher, associated travel authorization, supporting documentation, and payment information for record retention "
"TRT.010.070 ",,"Temporary Duty (TDY) and Local Travel Monitoring and Reconciliation ","Identify and provide traveler notification of completed trip(s) with outstanding voucher(s); Process and match unused refundable ticket refund or non-refundable ticket value to travel authorization and billed account; Identify and document outstanding refunds owed by carrier for unused refundable tickets; Identify and document outstanding ticket value for future travel owed by carrier for unused non-refundable tickets; Determine and document penalty for accepting unauthorized payment for expenses from a non-Federal source; Develop and provide voucher and centrally billed account (CBA) reconciliation report information; Reconcile and provide centrally billed account (CBA) travel card account statement information against voucher information "
"TRT.010.080 ",,"Temporary Duty (TDY) and Local Travel Regulatory Reporting ","Develop and provide consolidated agency information for reporting on travel payments (Travel Reporting Information Profile [TRIP] Report); Develop and provide consolidated agency information for reporting on use of other than coach-class transportation accommodations (Premium Class Travel Report [PCTR]); Develop and provide consolidated agency information for reporting travel expenses paid by non-Federal sources; Develop and provide estimated improper travel payment information for agency reporting purposes "
"TRT.010.090 ",,"Temporary Duty (TDY) and Local Travel Management Reporting and Analysis ","Develop and provide standard travel report information; Provide standard travel report information errors and deficiencies; Develop ad hoc travel report content, including government-designated source of record; Develop and provide ad hoc travel report information; Evaluate ad hoc travel report information for errors and deficiencies, and revise content; Develop travel trends and patterns analysis report content, including government-designated source of record; Develop and provide travel trends and patterns analysis report information; Evaluate travel trends and pattern analysis report information for errors and deficiencies, and revise content; Evaluate and reconcile travel reporting and analysis information from multiple government-designated sources to identify inconsistencies, discrepancies, and errors, and provide results to appropriate parties "
"TRT.010.100 ",,"Temporary Duty (TDY) and Local Travel Policy Management and Audit","Document per diem and mileage reimbursement rates; Record documentary guidelines for government travel information; Document government-wide travel program information; Document list of agency approvers for travel documentation; Develop and document government-wide and approved agency-specific policies and associated compliance checks; Identify and document response information for request concerning travel guidance and policy information; Identify sample of vouchers and supporting documentation for audit; Evaluate vouchers, validate information and expenses, and record results; Identify, document, and provide improper travel payment information; Notify traveler of improper travel payment and request reimbursement; Request and confirm establishment of receivable for the traveler overpayment amount "
